,Incident,Location,Reported-edited,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,Hour,Week_Day,Month,Year,Weeks Since Start,Years since start,Months since start,week-composite,month-composite,Day of month,Date
34,Sexual Assault,54th between Woodlawn & Kimbark,40368.54792,40368.54514,Male subject armed with a knife demanded and took money from a woman in a building vestibule and attempted to sexually assault her / Arrest by UCPD,Arrest,W0765,13,6,7,2010,1,0,0,6-1,7-0,9,7/9/2010
35,Burglary,54th between Cottage Grove and Drexel,40368.69583,7/9/10 9:30 AM to 4:30 PM,Unknown person(s) gained entry to apartment and took 2 laptop computers and a Gameboy / No sign of forced entry,Open,W0766,16,6,7,2010,1,0,0,6-1,7-0,9,7/9/2010
36,Fire Alarm,5630 S. University (Max Palevsky East),40368.75903,40368.75903,Smoke detector malfunction / CFD responded,Closed,W0767,18,6,7,2010,1,0,0,6-1,7-0,9,7/9/2010
37,Disturbance,University between 56th & 57th,40369.20486,40369.20486,Complaint of people setting off fireworks / Peace restored,Closed,W0768,4,7,7,2010,1,0,0,7-1,7-0,10,7/10/2010
38,Hazardous Material Incident,920 E. 58th St. (Cummings Life Science Ctr.),40369.64444,40369.56597,Researcher accidently spilled chemical substance / Safety and CFD notified. CFD Haz. Mat. Team responded / Cleaned area.,Closed,W0769,15,7,7,2010,1,0,0,7-1,7-0,10,7/10/2010
39,Fire Alarm,940 E. 57th St. (Bio-Psychological Science),40370.00486,7/11/2010 12:07 AM AM,Alarm malfunction / CFD responded,Closed,W0770,0,1,7,2010,1,0,0,1-1,7-0,11,7/11/2010
40,Activated Alarm,5801 S. Ellis (Admin. Building),40370.19583,40370.19583,Apparent alarm malfunction / Premise secure,Closed,W0771,4,1,7,2010,1,0,0,1-1,7-0,11,7/11/2010
41,Fire,62nd St. between Drexel & Ingleside,40370.36319,40370.35764,ComEd transformer in the alley sparked and caught fire / CFD extinguished / ComEd on scene,Closed,W0772,8,1,7,2010,1,0,0,1-1,7-0,11,7/11/2010
42,Criminal Sexual Assault,53rd at Ellis,40370.59792,40370.59028,A male acquaintance visiting a female forced sexual intercourse against her will,Open,W0773,14,1,7,2010,1,0,0,1-1,7-0,11,7/11/2010
43,Burglary,58th between Kimbark & Kenwood,40370.85347,40370.84722,Residents came home and found a male subject had broken into their apartment / Suspect fled before police arrived,Open,W0774,20,1,7,2010,1,0,0,1-1,7-0,11,7/11/2010
44,Disturbance,1100 E. 57th St. (Regenstein Library),40370.91319,40370.90972,Male subject created a disturbance when a staff member told him it was too late to check out a book,Closed,W0775,21,1,7,2010,1,0,0,1-1,7-0,11,7/11/2010
45,Theft,5721 S. Maryland (Comer Hospital),40371.31736,7/9/10 2:00 PM to 7/12/10 5:30 AM,Unknown person took17 files from a file cabinet,Open,W0776,7,2,7,2010,1,0,0,2-1,7-0,12,7/12/2010
46,Disturbance,University between 56th & 57th,40372.02431,40372.02431,Neighbors complained of loud noisy party outside of a residence / Peace restored,Closed,W0777,0,3,7,2010,1,0,0,3-1,7-0,13,7/13/2010
47,Injured Person,5514 S. University (Pierce Hall),40372.60208,40372.59722,Man climbing fence cut his wrist / Transported to ER by CFD EMS,Closed,W0778,14,3,7,2010,1,0,0,3-1,7-0,13,7/13/2010
48,Criminal Damage to Property,Kimbark at 53rd,40372.70625,7/13/10 12:00 PM to 3:00 PM,Unknown person scrawled graffiti on the side of a residential building,Open,W0779,16,3,7,2010,1,0,0,3-1,7-0,13,7/13/2010
49,Warrant Arrest,53rd at Maryland,40372.76111,40372.76111,UCPD officers arrested a man wanted on a warrant,Arrest,W0780,18,3,7,2010,1,0,0,3-1,7-0,13,7/13/2010
50,Irregular Conditions,1059 E. 59th St. (Classics),40373.2875,40373.2875,Alarm malfunction due to a power outage,Closed,W0781,6,4,7,2010,1,0,0,4-1,7-0,14,7/14/2010
51,Theft,6030 S. Ellis (Edelstone Center),40373.44653,7/13/10 2:00 PM to 4:00 PM,Unknown person entered unsecured office and took unattended wallet left on a desk,Open,W0782,10,4,7,2010,1,0,0,4-1,7-0,14,7/14/2010
52,Fire/Smoke Report,924 E. 57th St. (Knapp Center),40373.52292,40373.52292,Plastic accidently placed in a sterilizer oven caused smoke / CFD responded,Closed,W0783,12,4,7,2010,1,0,0,4-1,7-0,14,7/14/2010
53,Theft,5706 S. University (Reynolds Club),40373.76597,7/13/10 to 7/14/10 6:30 PM to 10:00 AM,Three keys to the facility taken from an unattended key ring left in a mail box,Open,W0784,18,4,7,2010,1,0,0,4-1,7-0,14,7/14/2010
54,Sick Person,5845 S. Ellis (Gates-Blake),40374.36181,40374.36181,Sick person transported to ER by CFD EMS / Treated and released,Closed,W0785,8,5,7,2010,2,0,0,5-2,7-0,15,7/15/2010
55,Theft,5550 S. University (Crown Field House),40374.53542,7/15/10 9:45 AM to 12:45 PM,Bicycle chained to bike rack taken by unknown person,Open,W0786,12,5,7,2010,2,0,0,5-2,7-0,15,7/15/2010
56,Theft,5815 S. Maryland (Mitchell Hospital),40374.62639,7/15/10 11:00 AM to 12:55 PM,Unknown person took wallet from a purse that was placed on the floor under the table while dining / Unauthorized use of credit card subsequently reported,Open,W0787,15,5,7,2010,2,0,0,5-2,7-0,15,7/15/2010
57,Possession of Cannabis,1212 E. 59th St. (Ida Noyes),40374.65069,40374.65069,UCPD officer questioning suspicious male in Ida Noyes discovered subject possessed marijuana / Arrest,Arrest,W0788,15,5,7,2010,2,0,0,5-2,7-0,15,7/15/2010
58,Stuck Elevator,5455 S. Blackstone (Neighborhood Res.),40374.84167,40374.84028,Woman freed from stuck elevator by CFD,Closed,W0789,20,5,7,2010,2,0,0,5-2,7-0,15,7/15/2010
59,Irregular Condition,5640 S. University (Bartlett Commons),40375.02917,40375.02917,During a premise check UCPD officer found exterior door not properly secured / Premises checked and secured,Closed,W0790,0,6,7,2010,2,0,0,6-2,7-0,16,7/16/2010
60,Theft,6420 S. University (Charter School),40375.38194,40347.65278,Former staff member refused to return a MacBook laptop computer when he was terminated,Open,W0791,9,6,7,2010,2,0,0,6-2,7-0,16,7/16/2010
61,Sick Person,6054 S. Drexel (UCPD),40375.49583,40375.49583,Staff member complained of chest pains / Transported to Mitchell ER by CFD EMS,Closed,W0792,11,6,7,2010,2,0,0,6-2,7-0,16,7/16/2010
62,Theft,Cornell between 51st & 52nd,40375.57569,7/15/10 to 7/16/10 8:30 PM to 12:30 PM,Unknown person took bicycle chained to rear porch of residence,Open,W0793,13,6,7,2010,2,0,0,6-2,7-0,16,7/16/2010
63,Theft,Woodlawn at 54th,40375.64514,7/15/10 to 7/16/10 7:00 PM to 9:30 AM,Bicycle chained to city stop sign taken by unknown person,Open,W0794,15,6,7,2010,2,0,0,6-2,7-0,16,7/16/2010
64,Robbery,Ellis between 51st & 52nd,40375.85903,40375.85417,Man walking on the street was attacked by five youths who punched him and took his property / 1 arrest / some property recovered,Arrest,W0795,20,6,7,2010,2,0,0,6-2,7-0,16,7/16/2010
65,Disturbance,University between 56th & 57th,40376.16528,40376.16389,Neighbors complained of loud music at a residence / Peace restored,Closed,W0796,3,7,7,2010,2,0,0,7-2,7-0,17,7/17/2010
66,Theft,Cornell between 50th & 51st,40376.5375,7/17/10 11:00 AM to 11:30 AM,Unknown person took purse that was placed behind a chair that complainant occupied,Open,W0797,12,7,7,2010,2,0,0,7-2,7-0,17,7/17/2010
67,Theft,970 E. 58th St. (Bookstore),40376.60417,40376.54167,Unknown person took coin purse containing credit card from an unattended handbag left at workstation,Open,W0798,14,7,7,2010,2,0,0,7-2,7-0,17,7/17/2010
68,Theft,5815 S. Maryland (Mitchell Hospital),40376.68264,7/16/10 to 7/17/10 7:00 PM to 3:00 PM,$400 taken from unattended purse left in patient's room,Open,W0799,16,7,7,2010,2,0,0,7-2,7-0,17,7/17/2010
69,Theft,1118 E. 58th St. (Eckhart Hall),40377.28819,7/16/10 to 7/17/10 7:30 PM to 9:30 PM,Unknown person took an Apple MacBook laptop computer from a room,Open,W0800,6,1,7,2010,2,0,0,1-2,7-0,18,7/18/2010
70,Theft,56th between Woodlawn and Kimbark,40377.45903,7/18/10 12:30 AM to 10:30 AM,Unknown person smashed driver's side window of car parked on the street and took a Sony digital camera and an i-Pod from the glove box,Open,W0801,11,1,7,2010,2,0,0,1-2,7-0,18,7/18/2010
71,Criminal Trespass to Land,5800 S. Stony Island (Doctors Hospital),40377.52917,40377.52917,UCPD arrested a man for trespassing to the vacant and boarded former Doctors Hospital building,Arrest,W0802,12,1,7,2010,2,0,0,1-2,7-0,18,7/18/2010
72,Lost Property,5815 S. Maryland (Mitchell Hospital),40377.80486,7/18/10 2:00 PM to 7:00 PM,Patient's cell phone missing after she transferred rooms,Closed,W0803,19,1,7,2010,2,0,0,1-2,7-0,18,7/18/2010
73,Burglary,Greenwood between 48th & 49th,40378.49375,7/18/10 12:00 PM to 1:00 PM,"Unknown person(s) entered a residence via a rear window taking a lap top computer, marble chess set, and jewelry",Open,W0804,11,2,7,2010,2,0,0,2-2,7-0,19,7/19/2010
74,Cyberstalking,5841 S. Maryland (Mitchell Hospital),40378.52083,7/16/10 to 7/18/10 8:50 PM to 10:15 PM,Report of receipt of annoying email messages,Open,W0805,12,2,7,2010,2,0,0,2-2,7-0,19,7/19/2010
75,Theft,57th between Harper & Lake Park,40378.6625,7/18/10 to 7/19/10 12:30 AM to 9:30 AM,A Sony Playstation and an X-Box were taken from an apartment during the course of a party,Open,W0806,15,2,7,2010,2,0,0,2-2,7-0,19,7/19/2010
76,Recovered Motor Vehicle,Blackstone at 54th Pl.,40378.96597,40378.96597,"UCPD officer recovered stolen, unattended vehicle parked on the street / Turned over to CPD",Closed,W0807,23,2,7,2010,2,0,0,2-2,7-0,19,7/19/2010
77,Theft,1025 E. 58th St. (Swift Hall),40379.50486,40379.47917,"Unknown male entered coffee shop, ate two dinners and left without paying",Open,W0808,12,3,7,2010,2,0,0,3-2,7-0,20,7/20/2010
78,Irregular Condition,1025 E. 58th St. (Swift Hall),40379.51181,40379.51181,Power outage reported / Power restored at 1:40 PM,Closed,W0809,12,3,7,2010,2,0,0,3-2,7-0,20,7/20/2010
79,Theft,1101 E. 56th St. (Max Palevsky Central),40379.63333,7/12/10 to 7/20/10 8:00 AM to 3:00 PM,Bicycle chained to metal fence taken by unknown person,Open,W0810,15,3,7,2010,2,0,0,3-2,7-0,20,7/20/2010
80,Theft,5550 S. University (Crown Field House),40379.68056,7/20/10 3:30 PM to 4:20 PM,Unknown person(s) forced open three gym locker doors and took three cell phones,Open,W0812,16,3,7,2010,2,0,0,3-2,7-0,20,7/20/2010
81,Battery,5706 S. University (Reynolds Club),40379.71319,40379.69792,Unknown male placed his hand on woman's buttocks as they passed in a hallway / Suspect fled,Open,W0811,17,3,7,2010,2,0,0,3-2,7-0,20,7/20/2010
82,Assault,1118 E. 58th St. (Eckhart Hall),40379.73194,40379.59722,Woman felt threatened after a verbal exchange with a man dissatisfied with service,Open,W0813,17,3,7,2010,2,0,0,3-2,7-0,20,7/20/2010
83,Fire / Smoke Report,1100 E. 58th St. (Quad),40379.84444,40379.84375,Small fire in trash container in the Quad extinguished by CFD / No damage,Closed,W0814,20,3,7,2010,2,0,0,3-2,7-0,20,7/20/2010
84,Recovered Motor Vehicle,Woodlawn between 55th & 56th,40380.00278,40380.00278,UCPD officer arrested male subject in possession of a stolen motorcycle,Arrest,W0816,0,4,7,2010,2,0,0,4-2,7-0,21,7/21/2010
85,Injured Person,5815 S. Kimbark (Belfield Hall),40380.14097,40380.14097,Deliveryman fell down stairs injuring his lower back and head / Transported to ER by CFD EMS,Closed,W0815,3,4,7,2010,2,0,0,4-2,7-0,21,7/21/2010
96,Unlawful Use of a Weapon,61st at Greenwood,40380.58403,7/19/10 7:00 PM to 8:30 PM,Investigation of possible unlawful discharge of a firearm on the street by an unknown person,Open,W0827,14,4,7,2010,2,0,0,4-2,7-0,21,7/21/2010
87,Damage to Property,6031 S. Ellis (South Campus Residence Hall),40380.59236,7/1910 to 7/21/10 8:00 PM to 2:00 PM,Window damaged / Cause Undetermined,Closed,W0818,14,4,7,2010,2,0,0,4-2,7-0,21,7/21/2010
86,Criminal Damage to Property,55th between Drexel and Ellis,40380.62292,7/20/10 to 7/21/10 7:00 PM to 3:00 PM,Unknown person shattered rear window of a car parked on the street,Open,W0817,14,4,7,2010,2,0,0,4-2,7-0,21,7/21/2010
88,Fire Alarm,6031 S. Ellis (South Campus Residence Hall),40380.75833,40380.75833,Alarm malfunction / CFD responded,Closed,W0819,18,4,7,2010,2,0,0,4-2,7-0,21,7/21/2010
89,Fire Alarm,5700 S. Stony Island,40380.90486,40380.90486,Smoke from over-cooked food triggered alarm / No fire / CFD responded,Closed,W0820,21,4,7,2010,2,0,0,4-2,7-0,21,7/21/2010
90,Fire Alarm,1010 E. 59th St. (Classics),40381.43819,40381.43819,Alarm accidently triggered by contractor servicing system / CFD responded,Closed,W0821,10,5,7,2010,3,0,0,5-3,7-0,22,7/22/2010
91,Criminal Trespass to Land,5811 S. Ellis (Cobb Hall),40381.55208,40381.55208,UCPD officers arrested male subject for trespass and possession of burglary tools,Arrest,W0822,13,5,7,2010,3,0,0,5-3,7-0,22,7/22/2010
92,Theft from Motor Vehicle,56th between Greenwood & University,40381.65208,40381.64583,Unknown person broke window of van parked on the street and took bicycle and GPS device,Open,W0824,15,5,7,2010,3,0,0,5-3,7-0,22,7/22/2010
93,Theft,1137 E. 57th St. (Hutchinson Commons),40381.67639,40381.58333,Unknown person took wallet from unattended book bag / Unauthorized use of credit card reported,Open,W0823,16,5,7,2010,3,0,0,5-3,7-0,22,7/22/2010
94,Theft,924 E. 57th St. (BSLC),40381.88333,7/22/10 9:00 AM to 9:00 PM,Unknown person took a bicycle that was chained to a bike rack,Open,W0826,21,5,7,2010,3,0,0,5-3,7-0,22,7/22/2010
95,Robbery,Woodlawn between 54th & 55th,40381.89444,40381.89236,"Four males grabbed man walking on the street, struck him and took his i-Pod before fleeing on foot",Open,W0825,21,5,7,2010,3,0,0,5-3,7-0,22,7/22/2010
97,Cyberstalking,5841 S. Maryland (Mitchell Hospital),40382.35903,40375.89792,Report of receipt of annoying email,Open,W0828,8,6,7,2010,3,0,0,6-3,7-0,23,7/23/2010
98,Theft,Blackstone between 50th & 51st St.,40382.54236,40382.53125,Man took cell phone from a youth on the street and refused to return it / UCPD officer located and arrested suspect / phone recovered,Arrest,W0830,13,6,7,2010,3,0,0,6-3,7-0,23,7/23/2010
99,Burglary,Greenwood between 62nd & 63rd,40382.55903,40382.55208,Two males seen entering residence via window / Arrest,Arrest,W0831,13,6,7,2010,3,0,0,6-3,7-0,23,7/23/2010
100,Deceptive Practice,924 E. 57th St (BSLC),40382.61528,40380.54167,Unknown male caller used ruse in an attempt to secure credit card information from complainant,Open,W0829,14,6,7,2010,3,0,0,6-3,7-0,23,7/23/2010
101,Theft,5730 S. Drexel (Comer Hospital),40382.83264,7/23/10 4:30 PM to 7:30 PM,Unknown person took a bicycle that was secured to a bike rack,Open,W0832,19,6,7,2010,3,0,0,6-3,7-0,23,7/23/2010
102,Irregular Conditions,5640 S. University (Bartlett Commons),40382.93472,40382.93472,UCPD officer discovered an unlocked exterior door / Premise toured and secured,Closed,W0833,22,6,7,2010,3,0,0,6-3,7-0,23,7/23/2010
104,Irregular Conditions,1100 E. 57th St. (Regenstein Library),40382.99792,40382.99792,Leak in basement due to heavy rain / Engineer notified,Closed,W0835,23,6,7,2010,3,0,0,6-3,7-0,23,7/23/2010
106,Fire Alarm,5835 S. Greenwood (Stuart Hall),40383.31042,40383.31042,Clogged drain on roof caused water leak that triggered alarm / CFD responded,Closed,W0837,7,7,7,2010,3,0,0,7-3,7-0,24,7/24/2010
107,Irregular Conditions,Various Campus Buildings,40383.44792,7/24/10 12:00:00 AM to 10:00 AM,Report of water leaks and flooding of several campus buildings due to heavy rains,Closed,W0838,10,7,7,2010,3,0,0,7-3,7-0,24,7/24/2010
108,Irregular Conditions,901 E. 58th St. (Mitchell ER),40383.48125,40383.39931,Power surge reported at Mitchell ER and several buildings on campus,Closed,W0839,11,7,7,2010,3,0,0,7-3,7-0,24,7/24/2010
109,Theft,Greenwood at 53rd,40383.56806,7/24/10 1:00 AM to 6:00 AM,Unknown person took unsecured bicycle from lobby of apartment building,Open,W0840,13,7,7,2010,3,0,0,7-3,7-0,24,7/24/2010
110,Criminal Damage to Property,1125 E. 58th St.,40383.62222,7/20/10 to 7/24/10 3:00 PM to 2:55 PM,Unknown person scrawled graffiti on two bulletin boards and a table in the Quad area / Facilities notified,Open,W0841,14,7,7,2010,3,0,0,7-3,7-0,24,7/24/2010
111,Lost Property,5815 S. Maryland (Mitchell Hospital),40383.79653,7/24/10 11:00 AM to 7:05 PM,Patient reports a HP computer missing after she transferred rooms in the hospital,Closed,W0842,19,7,7,2010,3,0,0,7-3,7-0,24,7/24/2010
112,Irregular Conditions,5730 S. Ellis (Crerar Library),40383.90556,7/23/10 to 7/24/10 10:00 PM to 8:00 AM,Doors to library were propped open with newspaper / UCPD conducted premise check,Closed,W0843,21,7,7,2010,3,0,0,7-3,7-0,24,7/24/2010
113,Irregular Conditions,6054 S. Drexel (UCPD) / 6031 S. Ellis (South Campus Res. Hall),40383.90625,40383.90625,Power outage reported / ComEd restored power at 11:25 PM,Closed,W0845,21,7,7,2010,3,0,0,7-3,7-0,24,7/24/2010
114,Irregular Conditions,1359 E. Hyde Park (Fairfax),40383.9125,40383.9125,Person freed from stuck elevator by CFD,Closed,W0844,21,7,7,2010,3,0,0,7-3,7-0,24,7/24/2010
115,Theft,5730 S. Drexel (Comer ER),40384.03819,7/24/10 to 7/25/10 11:30 PM to 12:55 AM,Unknown person took credit cards and ID from an unattended wallet in Comer ER waiting area,Open,W0846,0,1,7,2010,3,0,0,1-3,7-0,25,7/25/2010
116,Sick Person,5630 S. University (Max Palevsky East),40384.04375,40384.04375,Sick person transported to Provident Hospital by CFD EMS,Closed,W0847,1,1,7,2010,3,0,0,1-3,7-0,25,7/25/2010
117,Found Property,1116 E. 59th St. (Harper Library),40384.32431,40384.32431,UCPD officer found briefcase on bench / Owner contacted,Closed,W0848,7,1,7,2010,3,0,0,1-3,7-0,25,7/25/2010
118,Deceptive Practice,Woodlawn between 54th & 55th,40384.33889,40381.91667,Complainant scammed via email / gave cnet ID and password to unknown party,Open,W0849,8,1,7,2010,3,0,0,1-3,7-0,25,7/25/2010
119,Possession of Cannabis,5630 S. University (Max Palevsky East),40384.425,40384.425,Subject arrested for possession of marijuana,Arrest,W0850,10,1,7,2010,3,0,0,1-3,7-0,25,7/25/2010
120,Fire Alarm,6031 S. Ellis (South Campus Residence Hall),40384.47431,40384.47431,Alarm malfunction / CFD responded,Closed,W0851,11,1,7,2010,3,0,0,1-3,7-0,25,7/25/2010
121,Miscellaneous,Everett between 55th & 56th,40384.55486,40384.55486,UCPD officers came to aid of woman calling for help / No crime committed,Closed,W0854,13,1,7,2010,3,0,0,1-3,7-0,25,7/25/2010
122,Lost Property,5815 S. Maryland (Mitchell Hospital),40384.57014,7/23/10 12:00 PM to 6:00 PM,Patient reports loss of eye glasses,Closed,W0852,13,1,7,2010,3,0,0,1-3,7-0,25,7/25/2010
123,Theft,5815 S. Maryland (Mitchell Hospital),40384.59097,7/25/10 12:00 PM to 1:00 PM,Unattended wallet taken from table in café,Open,W0853,14,1,7,2010,3,0,0,1-3,7-0,25,7/25/2010
124,Theft from Person,55th at Kimbark,40384.69792,40384.69722,Male exiting CTA bus grabbed cell phone from a passenger's hand and fled,Open,W0855,16,1,7,2010,3,0,0,1-3,7-0,25,7/25/2010
125,Irregular Conditions,61st to 65th / Cottage Grove to University,40384.97569,40384.97569,Power outage caused by shorted switch / Power restored at 11:50 PM,Closed,W0856,23,1,7,2010,3,0,0,1-3,7-0,25,7/25/2010
126,Fire Alarm,5835 S. Greenwood (Stuart Hall),40385.35417,40385.35278,Condensation in line triggered fire alarm / CFD responded,Closed,W0857,8,2,7,2010,3,0,0,2-3,7-0,26,7/26/2010
127,Harassment by Telephone,5848 S. University (Kelly Hall),40385.37847,1/29/10 to7/22/10 periodic,Report of on-going harassing telephone calls from a known individual / Investigation being conducted by CPD,Closed,W0858,9,2,7,2010,3,0,0,2-3,7-0,26,7/26/2010
128,Lost Property,924 E. 57th St. (BSLC),40385.68819,7/26/10 1:00 PM to 2:30 PM,Staff member reports losing her office keys,Closed,W0859,16,2,7,2010,3,0,0,2-3,7-0,26,7/26/2010
