,Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
10,No traffic stops for 06/11/2015,No traffic stops for 06/11/2015,No traffic stops for 06/11/2015,No traffic stops for 06/11/2015,No traffic stops for 06/11/2015,No traffic stops for 06/11/2015,No traffic stops for 06/11/2015,No traffic stops for 06/11/2015,No traffic stops for 06/11/2015
11,No traffic stops for 06/12/2015,No traffic stops for 06/12/2015,No traffic stops for 06/12/2015,No traffic stops for 06/12/2015,No traffic stops for 06/12/2015,No traffic stops for 06/12/2015,No traffic stops for 06/12/2015,No traffic stops for 06/12/2015,No traffic stops for 06/12/2015
12,No traffic stops for 06/13/2015,No traffic stops for 06/13/2015,No traffic stops for 06/13/2015,No traffic stops for 06/13/2015,No traffic stops for 06/13/2015,No traffic stops for 06/13/2015,No traffic stops for 06/13/2015,No traffic stops for 06/13/2015,No traffic stops for 06/13/2015
13,No traffic stops for 06/14/2015,No traffic stops for 06/14/2015,No traffic stops for 06/14/2015,No traffic stops for 06/14/2015,No traffic stops for 06/14/2015,No traffic stops for 06/14/2015,No traffic stops for 06/14/2015,No traffic stops for 06/14/2015,No traffic stops for 06/14/2015
14,No traffic stops for 06/15/2015,No traffic stops for 06/15/2015,No traffic stops for 06/15/2015,No traffic stops for 06/15/2015,No traffic stops for 06/15/2015,No traffic stops for 06/15/2015,No traffic stops for 06/15/2015,No traffic stops for 06/15/2015,No traffic stops for 06/15/2015
15,No traffic stops for 06/16/2015,No traffic stops for 06/16/2015,No traffic stops for 06/16/2015,No traffic stops for 06/16/2015,No traffic stops for 06/16/2015,No traffic stops for 06/16/2015,No traffic stops for 06/16/2015,No traffic stops for 06/16/2015,No traffic stops for 06/16/2015
16,No traffic stops for 06/17/2015,No traffic stops for 06/17/2015,No traffic stops for 06/17/2015,No traffic stops for 06/17/2015,No traffic stops for 06/17/2015,No traffic stops for 06/17/2015,No traffic stops for 06/17/2015,No traffic stops for 06/17/2015,No traffic stops for 06/17/2015
17,No traffic stops for 06/18/2015,No traffic stops for 06/18/2015,No traffic stops for 06/18/2015,No traffic stops for 06/18/2015,No traffic stops for 06/18/2015,No traffic stops for 06/18/2015,No traffic stops for 06/18/2015,No traffic stops for 06/18/2015,No traffic stops for 06/18/2015
18,No traffic stops for 06/19/2015,No traffic stops for 06/19/2015,No traffic stops for 06/19/2015,No traffic stops for 06/19/2015,No traffic stops for 06/19/2015,No traffic stops for 06/19/2015,No traffic stops for 06/19/2015,No traffic stops for 06/19/2015,No traffic stops for 06/19/2015
19,No traffic stops for 06/20/2015,No traffic stops for 06/20/2015,No traffic stops for 06/20/2015,No traffic stops for 06/20/2015,No traffic stops for 06/20/2015,No traffic stops for 06/20/2015,No traffic stops for 06/20/2015,No traffic stops for 06/20/2015,No traffic stops for 06/20/2015
20,No traffic stops for 06/21/2015,No traffic stops for 06/21/2015,No traffic stops for 06/21/2015,No traffic stops for 06/21/2015,No traffic stops for 06/21/2015,No traffic stops for 06/21/2015,No traffic stops for 06/21/2015,No traffic stops for 06/21/2015,No traffic stops for 06/21/2015
21,No traffic stops for 06/22/2015,No traffic stops for 06/22/2015,No traffic stops for 06/22/2015,No traffic stops for 06/22/2015,No traffic stops for 06/22/2015,No traffic stops for 06/22/2015,No traffic stops for 06/22/2015,No traffic stops for 06/22/2015,No traffic stops for 06/22/2015
22,There are no traffic stops for 06/23/2015,,,,,,,,
23,No traffic stops for 06/24/2015,No traffic stops for 06/24/2015,No traffic stops for 06/24/2015,No traffic stops for 06/24/2015,No traffic stops for 06/24/2015,No traffic stops for 06/24/2015,No traffic stops for 06/24/2015,No traffic stops for 06/24/2015,No traffic stops for 06/24/2015
24,No traffic stops for 06/25/2015,No traffic stops for 06/25/2015,No traffic stops for 06/25/2015,No traffic stops for 06/25/2015,No traffic stops for 06/25/2015,No traffic stops for 06/25/2015,No traffic stops for 06/25/2015,No traffic stops for 06/25/2015,No traffic stops for 06/25/2015
25,No traffic stops for 06/26/2015,No traffic stops for 06/26/2015,No traffic stops for 06/26/2015,No traffic stops for 06/26/2015,No traffic stops for 06/26/2015,No traffic stops for 06/26/2015,No traffic stops for 06/26/2015,No traffic stops for 06/26/2015,No traffic stops for 06/26/2015
26,6/27/2015 11:36 AM,6121 S Cottage Grove,African American,Male,Lane Violation,Subject was driving erratically and cut off another vehicle without signaling,,Verbal Warning,No
27,No traffic stops for 06/28/2015,No traffic stops for 06/28/2015,No traffic stops for 06/28/2015,No traffic stops for 06/28/2015,No traffic stops for 06/28/2015,No traffic stops for 06/28/2015,No traffic stops for 06/28/2015,No traffic stops for 06/28/2015,No traffic stops for 06/28/2015
28,No traffic stops for 06/29/2015,No traffic stops for 06/29/2015,No traffic stops for 06/29/2015,No traffic stops for 06/29/2015,No traffic stops for 06/29/2015,No traffic stops for 06/29/2015,No traffic stops for 06/29/2015,No traffic stops for 06/29/2015,No traffic stops for 06/29/2015
29,No traffic stops for 06/30/2015,No traffic stops for 06/30/2015,No traffic stops for 06/30/2015,No traffic stops for 06/30/2015,No traffic stops for 06/30/2015,No traffic stops for 06/30/2015,No traffic stops for 06/30/2015,No traffic stops for 06/30/2015,No traffic stops for 06/30/2015
30,No traffic stops for 07/01/2015,No traffic stops for 07/01/2015,No traffic stops for 07/01/2015,No traffic stops for 07/01/2015,No traffic stops for 07/01/2015,No traffic stops for 07/01/2015,No traffic stops for 07/01/2015,No traffic stops for 07/01/2015,No traffic stops for 07/01/2015
31,No traffic stops for 07/02/2015,No traffic stops for 07/02/2015,No traffic stops for 07/02/2015,No traffic stops for 07/02/2015,No traffic stops for 07/02/2015,No traffic stops for 07/02/2015,No traffic stops for 07/02/2015,No traffic stops for 07/02/2015,No traffic stops for 07/02/2015
32,No traffic stops for 07/03/2015,No traffic stops for 07/03/2015,No traffic stops for 07/03/2015,No traffic stops for 07/03/2015,No traffic stops for 07/03/2015,No traffic stops for 07/03/2015,No traffic stops for 07/03/2015,No traffic stops for 07/03/2015,No traffic stops for 07/03/2015
33,No traffic stops for 07/04/2015,No traffic stops for 07/04/2015,No traffic stops for 07/04/2015,No traffic stops for 07/04/2015,No traffic stops for 07/04/2015,No traffic stops for 07/04/2015,No traffic stops for 07/04/2015,No traffic stops for 07/04/2015,No traffic stops for 07/04/2015
34,No traffic stops for 07/05/2015,No traffic stops for 07/05/2015,No traffic stops for 07/05/2015,No traffic stops for 07/05/2015,No traffic stops for 07/05/2015,No traffic stops for 07/05/2015,No traffic stops for 07/05/2015,No traffic stops for 07/05/2015,No traffic stops for 07/05/2015
35,No traffic stops for 07/06/2015,No traffic stops for 07/06/2015,No traffic stops for 07/06/2015,No traffic stops for 07/06/2015,No traffic stops for 07/06/2015,No traffic stops for 07/06/2015,No traffic stops for 07/06/2015,No traffic stops for 07/06/2015,No traffic stops for 07/06/2015
36,No traffic stops for 07/07/2015,No traffic stops for 07/07/2015,No traffic stops for 07/07/2015,No traffic stops for 07/07/2015,No traffic stops for 07/07/2015,No traffic stops for 07/07/2015,No traffic stops for 07/07/2015,No traffic stops for 07/07/2015,No traffic stops for 07/07/2015
37,No traffic stops for 07/08/2015,No traffic stops for 07/08/2015,No traffic stops for 07/08/2015,No traffic stops for 07/08/2015,No traffic stops for 07/08/2015,No traffic stops for 07/08/2015,No traffic stops for 07/08/2015,No traffic stops for 07/08/2015,No traffic stops for 07/08/2015
38,No traffic stops for 07/09/2015,No traffic stops for 07/09/2015,No traffic stops for 07/09/2015,No traffic stops for 07/09/2015,No traffic stops for 07/09/2015,No traffic stops for 07/09/2015,No traffic stops for 07/09/2015,No traffic stops for 07/09/2015,No traffic stops for 07/09/2015
39,No traffic stops for 07/10/2015,No traffic stops for 07/10/2015,No traffic stops for 07/10/2015,No traffic stops for 07/10/2015,No traffic stops for 07/10/2015,No traffic stops for 07/10/2015,No traffic stops for 07/10/2015,No traffic stops for 07/10/2015,No traffic stops for 07/10/2015
40,7/11/2015 10:04 PM,5500 S Cottage Grove,African American,Male,Moving Violation - Other,Failed to yield to CFD firetruck,,Verbal Warning,No
41,7/11/2015 10:47 PM,5600 S Drexel,African American,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
42,No traffic stops for 07/12/15,No traffic stops for 07/12/15,No traffic stops for 07/12/15,No traffic stops for 07/12/15,No traffic stops for 07/12/15,No traffic stops for 07/12/15,No traffic stops for 07/12/15,No traffic stops for 07/12/15,No traffic stops for 07/12/15
43,No traffic stops for 07/14/2015,No traffic stops for 07/14/2015,No traffic stops for 07/14/2015,No traffic stops for 07/14/2015,No traffic stops for 07/14/2015,No traffic stops for 07/14/2015,No traffic stops for 07/14/2015,No traffic stops for 07/14/2015,No traffic stops for 07/14/2015
44,No traffic stops for 07/15/2015,No traffic stops for 07/15/2015,No traffic stops for 07/15/2015,No traffic stops for 07/15/2015,No traffic stops for 07/15/2015,No traffic stops for 07/15/2015,No traffic stops for 07/15/2015,No traffic stops for 07/15/2015,No traffic stops for 07/15/2015
45,7/16/2015 12:10PM,5400 S Lake Park,Caucasian,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
46,No traffic stops for 07/17/2015,No traffic stops for 07/17/2015,No traffic stops for 07/17/2015,No traffic stops for 07/17/2015,No traffic stops for 07/17/2015,No traffic stops for 07/17/2015,No traffic stops for 07/17/2015,No traffic stops for 07/17/2015,No traffic stops for 07/17/2015
47,No traffic stops for 07/18/2015,No traffic stops for 07/18/2015,No traffic stops for 07/18/2015,No traffic stops for 07/18/2015,No traffic stops for 07/18/2015,No traffic stops for 07/18/2015,No traffic stops for 07/18/2015,No traffic stops for 07/18/2015,No traffic stops for 07/18/2015
48,No traffic stops for 07/19/2015,No traffic stops for 07/19/2015,No traffic stops for 07/19/2015,No traffic stops for 07/19/2015,No traffic stops for 07/19/2015,No traffic stops for 07/19/2015,No traffic stops for 07/19/2015,No traffic stops for 07/19/2015,No traffic stops for 07/19/2015
49,No traffic stops for 07/20/2015,No traffic stops for 07/20/2015,No traffic stops for 07/20/2015,No traffic stops for 07/20/2015,No traffic stops for 07/20/2015,No traffic stops for 07/20/2015,No traffic stops for 07/20/2015,No traffic stops for 07/20/2015,No traffic stops for 07/20/2015
50,No traffic stops for 07/21/2015,No traffic stops for 07/21/2015,No traffic stops for 07/21/2015,No traffic stops for 07/21/2015,No traffic stops for 07/21/2015,No traffic stops for 07/21/2015,No traffic stops for 07/21/2015,No traffic stops for 07/21/2015,No traffic stops for 07/21/2015
51,No traffic stops for 07/22/2015,No traffic stops for 07/22/2015,No traffic stops for 07/22/2015,No traffic stops for 07/22/2015,No traffic stops for 07/22/2015,No traffic stops for 07/22/2015,No traffic stops for 07/22/2015,No traffic stops for 07/22/2015,No traffic stops for 07/22/2015
52,No traffic stops for 07/23/2015,No traffic stops for 07/23/2015,No traffic stops for 07/23/2015,No traffic stops for 07/23/2015,No traffic stops for 07/23/2015,No traffic stops for 07/23/2015,No traffic stops for 07/23/2015,No traffic stops for 07/23/2015,No traffic stops for 07/23/2015
53,7/24/2015 12:42 PM,5700 S ELLIS,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
54,No traffic stops for 07/25/2015,No traffic stops for 07/25/2015,No traffic stops for 07/25/2015,No traffic stops for 07/25/2015,No traffic stops for 07/25/2015,No traffic stops for 07/25/2015,No traffic stops for 07/25/2015,No traffic stops for 07/25/2015,No traffic stops for 07/25/2015
55,7/26/2015 11:21 AM,5201 S Woodlawn,African American,Male,Moving Violation - Other,Was observed by R/O leaving the scene of a traffic accident,,Verbal Warning,No
56,No traffic stops for 07/27/2015,No traffic stops for 07/27/2015,No traffic stops for 07/27/2015,No traffic stops for 07/27/2015,No traffic stops for 07/27/2015,No traffic stops for 07/27/2015,No traffic stops for 07/27/2015,No traffic stops for 07/27/2015,No traffic stops for 07/27/2015
57,No traffic stops for 07/28/2015,No traffic stops for 07/28/2015,No traffic stops for 07/28/2015,No traffic stops for 07/28/2015,No traffic stops for 07/28/2015,No traffic stops for 07/28/2015,No traffic stops for 07/28/2015,No traffic stops for 07/28/2015,No traffic stops for 07/28/2015
58,7/29/2015 4:02 PM,5600 S Lake Park,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
59,No traffic stops for 07/30/2015,No traffic stops for 07/30/2015,No traffic stops for 07/30/2015,No traffic stops for 07/30/2015,No traffic stops for 07/30/2015,No traffic stops for 07/30/2015,No traffic stops for 07/30/2015,No traffic stops for 07/30/2015,No traffic stops for 07/30/2015
60,No traffic stops for 07/31/2015,No traffic stops for 07/31/2015,No traffic stops for 07/31/2015,No traffic stops for 07/31/2015,No traffic stops for 07/31/2015,No traffic stops for 07/31/2015,No traffic stops for 07/31/2015,No traffic stops for 07/31/2015,No traffic stops for 07/31/2015
61,No traffic stops for 08/01/2015,No traffic stops for 08/01/2015,No traffic stops for 08/01/2015,No traffic stops for 08/01/2015,No traffic stops for 08/01/2015,No traffic stops for 08/01/2015,No traffic stops for 08/01/2015,No traffic stops for 08/01/2015,No traffic stops for 08/01/2015
62,No traffic stops for 08/02/2015,No traffic stops for 08/02/2015,No traffic stops for 08/02/2015,No traffic stops for 08/02/2015,No traffic stops for 08/02/2015,No traffic stops for 08/02/2015,No traffic stops for 08/02/2015,No traffic stops for 08/02/2015,No traffic stops for 08/02/2015
63,No traffic stops for 08/03/2015,No traffic stops for 08/03/2015,No traffic stops for 08/03/2015,No traffic stops for 08/03/2015,No traffic stops for 08/03/2015,No traffic stops for 08/03/2015,No traffic stops for 08/03/2015,No traffic stops for 08/03/2015,No traffic stops for 08/03/2015
64,No traffic stops for 08/04/2015,No traffic stops for 08/04/2015,No traffic stops for 08/04/2015,No traffic stops for 08/04/2015,No traffic stops for 08/04/2015,No traffic stops for 08/04/2015,No traffic stops for 08/04/2015,No traffic stops for 08/04/2015,No traffic stops for 08/04/2015
65,No traffic stops for 08/05/2015,No traffic stops for 08/05/2015,No traffic stops for 08/05/2015,No traffic stops for 08/05/2015,No traffic stops for 08/05/2015,No traffic stops for 08/05/2015,No traffic stops for 08/05/2015,No traffic stops for 08/05/2015,No traffic stops for 08/05/2015
66,No traffic stops for 08/06/2015,No traffic stops for 08/06/2015,No traffic stops for 08/06/2015,No traffic stops for 08/06/2015,No traffic stops for 08/06/2015,No traffic stops for 08/06/2015,No traffic stops for 08/06/2015,No traffic stops for 08/06/2015,No traffic stops for 08/06/2015
67,No traffic stops for 08/07/2015,No traffic stops for 08/07/2015,No traffic stops for 08/07/2015,No traffic stops for 08/07/2015,No traffic stops for 08/07/2015,No traffic stops for 08/07/2015,No traffic stops for 08/07/2015,No traffic stops for 08/07/2015,No traffic stops for 08/07/2015
68,No traffic stops for 08/08/2015,No traffic stops for 08/08/2015,No traffic stops for 08/08/2015,No traffic stops for 08/08/2015,No traffic stops for 08/08/2015,No traffic stops for 08/08/2015,No traffic stops for 08/08/2015,No traffic stops for 08/08/2015,No traffic stops for 08/08/2015
69,No traffic stops for 08/09/2015,No traffic stops for 08/09/2015,No traffic stops for 08/09/2015,No traffic stops for 08/09/2015,No traffic stops for 08/09/2015,No traffic stops for 08/09/2015,No traffic stops for 08/09/2015,No traffic stops for 08/09/2015,No traffic stops for 08/09/2015
70,No traffic stops for 08/10/2015,No traffic stops for 08/10/2015,No traffic stops for 08/10/2015,No traffic stops for 08/10/2015,No traffic stops for 08/10/2015,No traffic stops for 08/10/2015,No traffic stops for 08/10/2015,No traffic stops for 08/10/2015,No traffic stops for 08/10/2015
71,No traffic stops for 08/11/2015,No traffic stops for 08/11/2015,No traffic stops for 08/11/2015,No traffic stops for 08/11/2015,No traffic stops for 08/11/2015,No traffic stops for 08/11/2015,No traffic stops for 08/11/2015,No traffic stops for 08/11/2015,No traffic stops for 08/11/2015
72,No traffic stops for 08/12/2015,No traffic stops for 08/12/2015,No traffic stops for 08/12/2015,No traffic stops for 08/12/2015,No traffic stops for 08/12/2015,No traffic stops for 08/12/2015,No traffic stops for 08/12/2015,No traffic stops for 08/12/2015,No traffic stops for 08/12/2015
73,No traffic stops for 08/13/2015,No traffic stops for 08/13/2015,No traffic stops for 08/13/2015,No traffic stops for 08/13/2015,No traffic stops for 08/13/2015,No traffic stops for 08/13/2015,No traffic stops for 08/13/2015,No traffic stops for 08/13/2015,No traffic stops for 08/13/2015
74,No traffic stops for 08/14/2015,No traffic stops for 08/14/2015,No traffic stops for 08/14/2015,No traffic stops for 08/14/2015,No traffic stops for 08/14/2015,No traffic stops for 08/14/2015,No traffic stops for 08/14/2015,No traffic stops for 08/14/2015,No traffic stops for 08/14/2015
75,No traffic stops for 08/15/2015,No traffic stops for 08/15/2015,No traffic stops for 08/15/2015,No traffic stops for 08/15/2015,No traffic stops for 08/15/2015,No traffic stops for 08/15/2015,No traffic stops for 08/15/2015,No traffic stops for 08/15/2015,No traffic stops for 08/15/2015
76,No traffic stops for 08/16/2015,No traffic stops for 08/16/2015,No traffic stops for 08/16/2015,No traffic stops for 08/16/2015,No traffic stops for 08/16/2015,No traffic stops for 08/16/2015,No traffic stops for 08/16/2015,No traffic stops for 08/16/2015,No traffic stops for 08/16/2015
77,No traffic stops for 08/17/2015,No traffic stops for 08/17/2015,No traffic stops for 08/17/2015,No traffic stops for 08/17/2015,No traffic stops for 08/17/2015,No traffic stops for 08/17/2015,No traffic stops for 08/17/2015,No traffic stops for 08/17/2015,No traffic stops for 08/17/2015
78,No traffic stops for 08/18/2015,No traffic stops for 08/18/2015,No traffic stops for 08/18/2015,No traffic stops for 08/18/2015,No traffic stops for 08/18/2015,No traffic stops for 08/18/2015,No traffic stops for 08/18/2015,No traffic stops for 08/18/2015,No traffic stops for 08/18/2015
79,8/20/2015 1:03 AM,5600 S Woodlawn,Asian,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
80,No traffic stops for 08/20/2015,No traffic stops for 08/20/2015,No traffic stops for 08/20/2015,No traffic stops for 08/20/2015,No traffic stops for 08/20/2015,No traffic stops for 08/20/2015,No traffic stops for 08/20/2015,No traffic stops for 08/20/2015,No traffic stops for 08/20/2015
81,No traffic stops for 08/21/2015,No traffic stops for 08/21/2015,No traffic stops for 08/21/2015,No traffic stops for 08/21/2015,No traffic stops for 08/21/2015,No traffic stops for 08/21/2015,No traffic stops for 08/21/2015,No traffic stops for 08/21/2015,No traffic stops for 08/21/2015
82,No traffic stops for 08/22/2015,No traffic stops for 08/22/2015,No traffic stops for 08/22/2015,No traffic stops for 08/22/2015,No traffic stops for 08/22/2015,No traffic stops for 08/22/2015,No traffic stops for 08/22/2015,No traffic stops for 08/22/2015,No traffic stops for 08/22/2015
83,No traffic stops for 08/23/2015,No traffic stops for 08/23/2015,No traffic stops for 08/23/2015,No traffic stops for 08/23/2015,No traffic stops for 08/23/2015,No traffic stops for 08/23/2015,No traffic stops for 08/23/2015,No traffic stops for 08/23/2015,No traffic stops for 08/23/2015
84,No traffic stops for 08/24/2015,No traffic stops for 08/24/2015,No traffic stops for 08/24/2015,No traffic stops for 08/24/2015,No traffic stops for 08/24/2015,No traffic stops for 08/24/2015,No traffic stops for 08/24/2015,No traffic stops for 08/24/2015,No traffic stops for 08/24/2015
85,No traffic stops for 08/25/2015,No traffic stops for 08/25/2015,No traffic stops for 08/25/2015,No traffic stops for 08/25/2015,No traffic stops for 08/25/2015,No traffic stops for 08/25/2015,No traffic stops for 08/25/2015,No traffic stops for 08/25/2015,No traffic stops for 08/25/2015
86,No traffic stops for 08/26/2015,No traffic stops for 08/26/2015,No traffic stops for 08/26/2015,No traffic stops for 08/26/2015,No traffic stops for 08/26/2015,No traffic stops for 08/26/2015,No traffic stops for 08/26/2015,No traffic stops for 08/26/2015,No traffic stops for 08/26/2015
87,No traffic stops for 08/27/2015,No traffic stops for 08/27/2015,No traffic stops for 08/27/2015,No traffic stops for 08/27/2015,No traffic stops for 08/27/2015,No traffic stops for 08/27/2015,No traffic stops for 08/27/2015,No traffic stops for 08/27/2015,No traffic stops for 08/27/2015
88,No traffic stops for 08/28/2015,No traffic stops for 08/28/2015,No traffic stops for 08/28/2015,No traffic stops for 08/28/2015,No traffic stops for 08/28/2015,No traffic stops for 08/28/2015,No traffic stops for 08/28/2015,No traffic stops for 08/28/2015,No traffic stops for 08/28/2015
89,8/29/2015 12:38 PM,1331 E 55th,African American,Female,Traffic Sign/Signal,Almost hit pedestrian in crosswalk,,Verbal Warning,No
90,No traffic stops for 08/30/2015,No traffic stops for 08/30/2015,No traffic stops for 08/30/2015,No traffic stops for 08/30/2015,No traffic stops for 08/30/2015,No traffic stops for 08/30/2015,No traffic stops for 08/30/2015,No traffic stops for 08/30/2015,No traffic stops for 08/30/2015
91,No traffic stops for 08/31/2015,No traffic stops for 08/31/2015,No traffic stops for 08/31/2015,No traffic stops for 08/31/2015,No traffic stops for 08/31/2015,No traffic stops for 08/31/2015,No traffic stops for 08/31/2015,No traffic stops for 08/31/2015,No traffic stops for 08/31/2015
92,No traffic stops for 09/01/2015,No traffic stops for 09/01/2015,No traffic stops for 09/01/2015,No traffic stops for 09/01/2015,No traffic stops for 09/01/2015,No traffic stops for 09/01/2015,No traffic stops for 09/01/2015,No traffic stops for 09/01/2015,No traffic stops for 09/01/2015
93,No traffic stops for 09/02/2015,No traffic stops for 09/02/2015,No traffic stops for 09/02/2015,No traffic stops for 09/02/2015,No traffic stops for 09/02/2015,No traffic stops for 09/02/2015,No traffic stops for 09/02/2015,No traffic stops for 09/02/2015,No traffic stops for 09/02/2015
94,No traffic stops for 09/03/2015,No traffic stops for 09/03/2015,No traffic stops for 09/03/2015,No traffic stops for 09/03/2015,No traffic stops for 09/03/2015,No traffic stops for 09/03/2015,No traffic stops for 09/03/2015,No traffic stops for 09/03/2015,No traffic stops for 09/03/2015
95,No traffic stops for 09/04/2015,No traffic stops for 09/04/2015,No traffic stops for 09/04/2015,No traffic stops for 09/04/2015,No traffic stops for 09/04/2015,No traffic stops for 09/04/2015,No traffic stops for 09/04/2015,No traffic stops for 09/04/2015,No traffic stops for 09/04/2015
96,No traffic stops for 09/05/2015,No traffic stops for 09/05/2015,No traffic stops for 09/05/2015,No traffic stops for 09/05/2015,No traffic stops for 09/05/2015,No traffic stops for 09/05/2015,No traffic stops for 09/05/2015,No traffic stops for 09/05/2015,No traffic stops for 09/05/2015
97,No traffic stops for 09/06/2015,No traffic stops for 09/06/2015,No traffic stops for 09/06/2015,No traffic stops for 09/06/2015,No traffic stops for 09/06/2015,No traffic stops for 09/06/2015,No traffic stops for 09/06/2015,No traffic stops for 09/06/2015,No traffic stops for 09/06/2015
98,No traffic stops for 09/07/2015,No traffic stops for 09/07/2015,No traffic stops for 09/07/2015,No traffic stops for 09/07/2015,No traffic stops for 09/07/2015,No traffic stops for 09/07/2015,No traffic stops for 09/07/2015,No traffic stops for 09/07/2015,No traffic stops for 09/07/2015
99,No traffic stops for 09/08/2015,No traffic stops for 09/08/2015,No traffic stops for 09/08/2015,No traffic stops for 09/08/2015,No traffic stops for 09/08/2015,No traffic stops for 09/08/2015,No traffic stops for 09/08/2015,No traffic stops for 09/08/2015,No traffic stops for 09/08/2015
100,No traffic stops for 09/09/2015,No traffic stops for 09/09/2015,No traffic stops for 09/09/2015,No traffic stops for 09/09/2015,No traffic stops for 09/09/2015,No traffic stops for 09/09/2015,No traffic stops for 09/09/2015,No traffic stops for 09/09/2015,No traffic stops for 09/09/2015
101,9/10/2015 9:48 AM,5900 S Dorchester,Caucasian,Male,Traffic Sign/Signal,Failure To Stop At Stop Sign,,Verbal Warning,NO
102,9/10/2015 10:31 AM,E/B Midway Plaisance & Cornell,African American,Male,Moving Violation - Other,Speeding in School /Construction zone,,Verbal Warning,NO
103,No traffic stops for 09/11/2015,No traffic stops for 09/11/2015,No traffic stops for 09/11/2015,No traffic stops for 09/11/2015,No traffic stops for 09/11/2015,No traffic stops for 09/11/2015,No traffic stops for 09/11/2015,No traffic stops for 09/11/2015,No traffic stops for 09/11/2015
104,9/12/2015 9:30 PM,6000 Dorchester,African American,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,Yes
105,No traffic stops for 09/13/2015,No traffic stops for 09/13/2015,No traffic stops for 09/13/2015,No traffic stops for 09/13/2015,No traffic stops for 09/13/2015,No traffic stops for 09/13/2015,No traffic stops for 09/13/2015,No traffic stops for 09/13/2015,No traffic stops for 09/13/2015
106,No traffic stops for 09/14/2015,No traffic stops for 09/14/2015,No traffic stops for 09/14/2015,No traffic stops for 09/14/2015,No traffic stops for 09/14/2015,No traffic stops for 09/14/2015,No traffic stops for 09/14/2015,No traffic stops for 09/14/2015,No traffic stops for 09/14/2015
107,9/15/2015 7:47 PM,1362 E 58th,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
108,No traffic stops for 09/16/2015,No traffic stops for 09/16/2015,No traffic stops for 09/16/2015,No traffic stops for 09/16/2015,No traffic stops for 09/16/2015,No traffic stops for 09/16/2015,No traffic stops for 09/16/2015,No traffic stops for 09/16/2015,No traffic stops for 09/16/2015
109,9/17/2015 8:06 PM,5300 Dorchester,African American,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
